name	***	mention	text	class
TOKYO TO TIJUANA: GABRIELE DEPARTING AMERICA***	Winnie the Pooh	His thoughts crumbled like Graham crackers and spilled like pints of milk that Mrs. Ghrame, the kindergarten teacher, had given to each class member as they watched Winnie the Pooh and Piglet on television before being made to sleep on mats for a nap.	True
PIRATES ***	General History of the Pyrates	A little research into the book's history shows us that it is consistent throughout, and that it is a "piracy," in the publisher's sense of the word, of a much larger and more pretentious work by Captain Charles Johnson, entitled, "A General History of the Pyrates from their first Rise and Settlement in the Island of Providence to the Present Time; With the Remarkable Actions and Adventures of the two Female Pyrates Mary Read and Anne Bonny."	True
THE STORY OF LITTLE BLACK MINGO ***	Little Black Mingo	[Illustration] So Little Black Mingo took the chatty and ran down to the river as fast as she could, and began to fill it with water, when Cr-r-rrrack!!!	True
CURIOSITIES OF IMPECUNIOSITY ***	Right Honourable Edmund Burke	Here he painted, and etched, and printed his own proofs from a little old printing press; and here he received the Right Honourable Edmund Burke on that memorable occasion when he was, at his own particular request, invited to dine with the painter, and take "pot luck."	True
MERRIWEATHER GIRLS--QUEEN'S FAN ***	The Bet	The Bet who presented herself to her father had scarlet cheeks and her hands were trembling with nervous strain.	False
THE VELVET GLOVE ***	The Convent School	The Convent School of the Sisters of the True Faith did not err, at all events, in the heathen indiscretion of a too free hospitality.	False
AGAINST WAR ***	The Enchiridion	The Enchiridion Militis Christiani, written soon after Erasmus returned to France, breathes the spirit of one who had not lost hope in the reconciliation of the Church and the world, of the old and new.	True
IVORY APES AND PEACOCKS ***	The Island of Doctor Moreau	The hairy servant might be a graduate from The Island of Doctor Moreau of Mr. Wells--one of the beast folk; while the murderous henchman, Ricardo, is unpleasantly put before us.	True
MIRROR OF LITERATURE, NO. 347 ***	The Jews in Great Britain	The Jews in Great Britain and Ireland are not supposed to be more than from ten to twelve thousand, very many of whom are foreigners, and migratory.--_Quarterly Rev._ *       *       *       *       * EGYPTIAN RATIONS.	False
OLIVER GOLDSMITH ***	The Mistakes of a Night	The Mistakes of a Night was the title at length fixed upon, to which Goldsmith prefixed the words She Stoops to Conquer.	True
THE SAMURAI STRATEGY ***	The Tale of Genji	An ink illustration out of the The Tale of Genji flashed before my eyes, and I realized I was seeing a _hakama_, something that hadn't been around the streets of Japan for roughly eight hundred years.	True
WILLIAM PITT AND THE GREAT WAR ***	The Waste Land	CHAPTER XIII DEARTH AND DISCONTENT The Waste Land Bill will turn the tide of our affairs and enable us to bear without difficulty the increased burdens of the war.--SINCLAIR TO PITT, _13th March 1796_.	True
THE SHIP OF FOOLS, VOLUME 1 ***	transmission of ancient books to modern	A notice of the history of this once popular Dialogue, its ever recurring disappearance, and ever recurring "discovery" by some fortunate antiquary, would form an interesting chapter in a new "History of the transmission of ancient books to modern times."	True
KITTY CANARY ***	Views and Opinions	 Jessica is an A.M., and she has Ideas and Views and Opinions which she isn't stingy with and lets anybody have who is within hearing, and she wanted to be something, have a Career and get an Identity, which she says a woman has no chance of doing as long as she sinks herself in marriage; but Father said she couldn't go to any more colleges until she had had a fling at fun, for it wasn't fair to Mother.	False
BETWEEN THE LINES***	Watson's Magazine	Just now while I am writing I have before me Watson's Magazine for March, 1911, speaking of Headley's account of his part in retaliatory acts in the west and east: "The evidence there found of the extent of the copperhead movement in the upper Mississippi Valley in 1863-1864 is entirely essential to a history of both sides of the great war.	True
HENRIK IBSEN***	A Doll's House	Production of A Doll's House at Court Theatre, London.	True
THE CHURCH OF ST. BUNCO ***	Analysis of Mind	This, the most profound and far-reaching treatise of any age, should have been named "The Analysis of Mind and Matter, Time and Space"; for such was really Kant's subject and achievement.	False
IVORY APES AND PEACOCKS ***	An Enemy of the People	To Ibsen's An Enemy of the People he is evidently under certain obligations; Professor Bernhardi is a variation of Doctor Stockmann, plus not a little irony and self-complacency.	True
THE CHESSMEN OF MARS ***	A Princess of Mars	Those who have read John Carter's description of the Green Martians in A Princess of Mars will recall that these strange people could exist for considerable periods of time without food or water, and to a lesser degree is the same true of all Martians.	True
UNICORNS ***	Ballad of Reading Gaol	He would not be persuaded to leave London, and perhaps it was the wisest act of his life, though neither the Ballad of Reading Gaol nor De Profundis carry conviction.	True
MARK TWAIN, A BIOGRAPHY, ***	Eve's Diary	He finished his Eve's Diary that summer, and wrote a story which was originally planned to oblige Mrs. Minnie Maddern Fiske, to aid her in a crusade against bullfighting in Spain.	True
COMPLETE PG TWAIN ***	Following the Equator	In Following the Equator there was used an amusing picture showing Mark Twain on his trip around the world.	True
MARK TWAIN, A BIOGRAPHY, ***	Following the Equator	Then there was a report which came now and then from another English castle--the minutes of a certain "Mark Twain Club," all neatly and elaborately written out, with the speech of each member and the discussions which had followed--the work, he found out later, of another eccentric; for there was no Mark Twain Club, the reports being just the mental diversion of a rich young man, with nothing else to do.--[In Following the Equator Clemens combined these two pleasant characters in one story, with elaborations.]	True
MARK TWAIN, A BIOGRAPHY, ***	Following the Equator	From Australia to New Zealand--where Clemens had his third persistent carbuncle,--[In Following the Equator the author says: "The dictionary says a carbuncle is a kind of jewel.	True
THE LIFE OF FRIEDRICH SCHILLER ***	History of the Peloponnesian War	It seems to me,' said he in one of his letters, 'that in writing history for the moderns, we should try to communicate to it such an interest as the History of the Peloponnesian War had for the Greeks.	True
ANNAJANSKA, THE BOLSHEVIK EMPRESS ***	Man and Superman	Miss Lillah McCarthy and I, as author and actress, have helped to make one another famous on many serious occasions, from Man and Superman to Androcles; and Mr Charles Ricketts has not disdained to snatch moments from his painting and sculpture to design some wonderful dresses for us.	True
NEW ENGLAND MAGAZINE, JUNE 1886 ***	Mary Rowlandson	"Upon this rock, May 2d, 1676, was made the agreement for the ransom of Mrs. Mary Rowlandson of Lancaster, between the Indians and John Hoar of Concord.	False
THE FAITH OF THE MILLIONS (2ND SERIES)***	Revelations of Divine Love	"One of the most remarkable books of the middle ages," writes Father Dalgairns, [1] "is the hitherto almost unknown work, titled, _Sixteen Revelations of Divine Love made to a Devout Servant of God, called Mother Juliana, an Anchoress of Norwich_"	True
HENRY JAMES ***	The Jolly Corner	Fordham Castle, The Jolly Corner and Julia Bride had not previously been published.	True
BEETHOVEN***	The Kreutzer Sonata	The Kreutzer Sonata has had a wide notoriety given it through Tolstoy's work of that name.	True
PLATO, COMPANIONS OF SOKRATES, VOL IV ***	The Republic of Plato	The Republic of Plato certainly shows ground for the first part of it.	True
NOTES ON MY BOOKS ***	The Secret Sharer	I do not know the date of the occurrence on which the scheme of The Secret Sharer is founded; it came to light and even got into newspapers about the middle eighties, though I had heard of it before, as it were privately, among the officers of the great wool fleet in which my first years in deep water were served.	True
CONTEMPORARY RUSSIAN NOVELISTS ***	Uncle Vanya	Up to this time Uncle Vanya and the other members of the family as well, had sacrificed themselves entirely to this celebrated man.	False
MALBONE ***	Virtue Rewarded	"I wouldn't mind playing Virtue Rewarded myself, young woman," said Blanche, "at such a scale of prices.	True
THE WORKS OF MAX BEERBOHM ***	Ars Amatoria	But best of all is that fine book of the Ars Amatoria that Ovid has set aside for the consideration of dyes, perfumes, and pomades.	True
MYTHICAL MONSTERS***	Elder Eddas	The dragon, in place of being a creature evolved out of the imagination of Aryan man by the contemplation of lightning flashing through the caverns which he tenanted, as is held by some mythologists, is an animal which once lived and dragged its ponderous coils, and perhaps flew; which devastated herds, and on occasions swallowed their shepherd; which, establishing its lair in some cavern overlooking the fertile plain, spread terror and destruction around, and, protected from assault by dread or superstitious feeling, may even have been subsidised by the terror-stricken peasantry, who, failing the power to destroy it, may have preferred tethering offerings of cattle adjacent to its cavern to having it come down to seek supplies from amongst their midst.[1] To me the specific existence of the unicorn seems not incredible, and, in fact, more probable than that theory which assigns its origin to a lunar myth.[2] Again, believing as I do in the existence of some great undescribed inhabitant of the ocean depths, the much-derided sea-serpent, whose home seems especially to be adjacent to Norway, I recognise this monster as originating the myths of the midgard serpent which the Norse Elder Eddas have collected, this being the contrary view to that taken by mythologists, who invert the derivation, and suppose the stories current among the Norwegian fishermen to be modified versions of this important element of Norse mythology.[3] I must admit that, for my part, I doubt the general derivation of myths from "the contemplation of the visible workings of external nature.	True
CONTEMPORARY AMERICAN NOVELISTS ***	Ethan Frome	In the desolate communities which witness the agonies of Ethan Frome and Charity Royall not only is there a stubborn village decorum but there are also the bitter compulsions of a helpless poverty which binds feet and wings as the most ruthless decorum cannot bind them, and which dulls all the hues of life to an unendurable dinginess.	True
MARJORIE DEAN HIGH SCHOOL FRESHMAN***	Grimms' Fairy Tales	Sitting down on the floor before her bookcase, she drew out a thick red volume of Grimms' Fairy Tales and read the story of Snow White.	True
GRACE HARLOWE'S THIRD YEAR ***	Grimms' Fairy Tales	"I used to keep a copy of Grimms' Fairy Tales in my desk at school, just for that story.	True
NOTES ON MY BOOKS ***	Heart of Darkness	Heart of Darkness also received a certain amount of notice from the first; and of its origins this much may be said: it is well known that curious men go prying into all sorts of places (where they have no business) and come out of them with all kinds of spoil.	True
CONFLICT OF RELIGIONS IN ROMAN EMPIRE ***	Interpretation of Dreams	 He refers to events of the year 104 or 105, and in his _Solon_ he speaks of Athens and Plato each having an unfinished masterpiece, so that he cannot have known of the intention of the Emperor Hadrian to finish the temple of Zeus Olympics.[50]  All that this need imply is that the _Solon_ was written before 125 A.D.  As to his death, it is certainly interesting when we recall how full of dreams and portents his Biographies are, to learn from Artemidorus' great work on the Interpretation of Dreams (written some forty years later) that Plutarch, when ill, dreamed that he was ascending to heaven, supported by Hermes.	True
READINGS IN THE HISTORY OF EDUCATION ***	Interpretation of Dreams	For his Natural Philosophy and Metaphysics, and the Commentaries of Averrhoes and of others, were translated in our times, and were excommunicated at Paris before the year of our Lord 1237 on account of [their heretical views on] the eternity of matter and of time, and on account of the [heresies contained in the] book on Interpretation of Dreams (which is the third book on Sleep and Wakefulness), and on account of the many errors in the translation.	True
THOMAS PAINE ***	Library of the World's Best Literature	The Library of the World's Best Literature alludes to scientific experiments made by Paine "for the entertainment of Washington whose guest he was for some time."	True
COMPLETE PG TWAIN ***	Life on the Mississippi	 In Life on the Mississippi we have his story of how he met Horace Bixby and decided to become a pilot instead of a South American adventurer--jauntily setting himself the stupendous task of learning the twelve hundred miles of the Mississippi River between St. Louis and New Orleans--of knowing it as exactly and as unfailingly, even in the dark, as one knows the way to his own features.	True
MARK TWAIN, A BIOGRAPHY, ***	Life on the Mississippi	Life on the Mississippi was issued about the middle of May.	True
ANN VERONICA ***	Mrs. Warren's Profession	She had seen Mrs. Warren's Profession furtively with Hetty Widgett from the gallery of a Stage Society performance one Monday afternoon.	True
SONGS AND SATIRES ***	Spoon River Anthology	Spoon River Anthology _Mr. Masters' book is considered by many to be the most striking and important contribution to American letters in recent years_:--	True
HISTORY OF FRENCH NOVEL, VOL. 2 ***	The City of God	The City of God has a soul of its own.	True
THE HISTORY OF SIR RICHARD CALMADY ***	The City of God	The City of God was far off.	True
TRANSCENDENTALISM IN NEW ENGLAND ***	The Critique of Pure Reason	The Critique of Pure Reason is precisely what the title imports--a searching analysis of the human mind; an attempt to get at the ultimate grounds of thought, to discover the � priori principles.	True
BEACON LIGHTS OF HISTORY, VOLUME I***	The History of Herodotus	The History of Herodotus was probably written in the decline of life, when his mind was enriched with great attainments in all the varied learning of his age, and when he had conversed with most of the celebrated men of the various countries he had visited.	True
HOW I FOUND LIVINGSTONE ***	The History of Herodotus	For the information of such readers as may not have the original at hand, I append the following from Cary's translation of Herodotus: (II.28) (Jul 2001 The History of Herodotus V1 by Herodotus; Macaulay)	True
THE METAMORPHOSES OF OVID ***	The Metamorphoses of Ovid	The Metamorphoses of Ovid are a compendium of the Mythological narratives of ancient Greece and Rome, so ingeniously framed, as to embrace a large amount of information upon almost every subject connected with the learning, traditions, manners, and customs of antiquity, and have afforded a fertile field of investigation to the learned of the civilized world.	True
PREFACE TO DOCTOR'S DILEMMA ***	The Pickwick Papers	We have to go back no further than the days of The Pickwick Papers to find ourselves in a world where people slept in four-post beds with curtains drawn closely round to exclude as much air as possible.	True
OVER THE OCEAN ***	The Pickwick Papers	Here was Tippoo Saib's Koran, with its curious characters, and the Book of Enoch, brought from Abyssinia by Bruce, the African explorer; and my kind cicerone handed me another volume, whose odd characters I took to be Arabic or Coptic, but which was a book picked up at the capture of Sebastopol, in the Redan, by an English soldier, and which proved, on examination, to be The Pickwick Papers in the Russian language.	True
THE INVISIBLE CENSOR ***	The Playboy of the Western World	In peace-time we are allowed to go outside our own state to enjoy any manifestation of the seven arts; and such violent nationalism as attacked The Playboy of the Western World in New York is at once called ârowdyâ and âdespicable.â	False
THE INVISIBLE CENSOR ***	The Playboy of the Western World	In peace-time we are allowed to go outside our own state to enjoy any manifestation of the seven arts; and such violent nationalism as attacked The Playboy of the Western World in New York is at once called "rowdy" and "despicable."	True
A SERIES OF LESSONS IN GNANI YOGA ***	Thought-Forms	But, lest the student may be left in an uncertain state of mind, awaiting the conclusion of the consideration of the subject--and lest he may think that we intend teaching him that the Universe, and all in it, including himself are "Dreams," because we have said that All Things are Thought-Forms in the Mind of the Absolute--lest this misunderstanding may arise, we wish to add a few parting words to what we have said.	False
THOUGHT-FORMS ***	Thought-Forms	The drawing and painting of the Thought-Forms observed by Mr Leadbeater or by myself, or by both of us together, has been done by three friends--Mr John Varley, Mr Prince, and Miss Macfarlane, to each of whom we tender our cordial thanks.	False
THE DOCTRINE AND PRACTICE OF YOGA ***	Thought-Forms	Every one of us, as he thinks, feels and wills, sends forth Thought-Forms and Thought-Waves of greater or lesser intensity.	False
UNICORNS ***	Through the Looking-Glass	Is it any wonder that "Lewis Carroll," who wrote those extraordinary parables for little folk, Through the Looking-Glass and Alice in Wonderland, was a mathematician?	True
THE SPECTATOR, VOLUMES 1, 2 AND 3 ***	to the Centre of the Earth	But as there are very many of her Majesty's good Subjects, who are extreamly uneasie at their own Seats in the Country, where all from the Skies to the Centre of the Earth is their own, and have a mighty longing to shine in Courts, or be Partners in the Power of the World; I say, for the Benefit of these, and others who hanker after being in the Whisper with great Men, and vexing their Neighbours with the Changes they would be capable of making in the Appearance at a Country Sessions, it would not methinks be amiss to give an Account of that Market for Preferment, a great Man's Levée.	False
THE ART OF THE MOVING PICTURE***	Twenty Thousand Leagues under the Sea	In Twenty Thousand Leagues under the Sea he dimly discerned the submarine.	True
FREETHINKERS ***	Voltaire's Philosophical Dictionary	He published Voltaire's Philosophical Dictionary and Romances, Paine's complete works, D'Holbach's System of Nature, and Taylor's Syntagma and Diegesis.	True
LOUISE CHANDLER MOULTON ***	Cicero's Tusculan Disputations	While reading Cicero's Tusculan Disputations 'On Grief,' I found a quotation from Sophocles that reminds me of your loss in Philip's death.	True
COMPLETE PG TWAIN ***	Connecticut Yankee in King Arthur's Court	 Tom Sawyer, The Prince and the Pauper, Life on the Mississippi, Huckleberry Finn, and A Connecticut Yankee in King Arthur's Court were among the volumes that had entertained the world and inspired it with admiration and love for their author.	True
MARK TWAIN, A BIOGRAPHY, ***	Connecticut Yankee in King Arthur's Court	Without going further it is proper to say here that the pictures in the first edition of A Connecticut Yankee in King Arthur's Court justified the author's faith in the artist of his selection.	True
ANTIQUITY OF THE CHEMICAL ART ***	De Re Metallica	In George Agricolaâs De Re Metallica (1561) there is a curious set of woodcuts representing the manufacture of salt, and in the first, in which the whole process of evaporating sea-water by the sunâs rays is shown most completely from the raising of the sluices to allow the water to flow into the various evaporating ponds, to the packing of the finished salt in barrels--it is a curious fact that the trees which are introduced are _palms_, and the figure in the distance is dressed in _Oriental costume_, while even the ship seems to partake of this character.	True
DOCTRINA CHRISTIANA ***	Doctrina Christiana	In studying the Doctrina Christiana of 1593 there are four general problems which we shall discuss.	True
OUR DAY ***	Great Controversy Between Christ and Satan	THE ORIGIN OF EVIL The Beginning of the Great Controversy Between Christ and Satan The great controversy between good and evil, that has been waged on earth ever since man's fall, had its origin in heaven.	False
PUNCH, OR THE LONDON ***	Letters to His Son	Though already we have so portentous an array of books jostling each other upon the warshelf, there must be many people who will gladly find the little space into which they may slip a slender volume called _A General's Letters to His Son on Obtaining His Commission_ (CASSELL).	True
MOTHER WEST WIND'S ANIMAL FRIENDS ***	Old Granny Fox	Old Granny Fox had been so sure that in another minute she would have tender young rabbit for her dinner that she had begun to smile and her mouth actually watered.	False
BOWSER THE HOUND ***	Old Granny Fox	Meanwhile Old Man Coyote and Reddy Fox and Old Granny Fox had become very bold.	False
THE ADVENTURES OF REDDY FOX ***	Old Granny Fox	Old Granny Fox flew into a greater rage than before.	False
THE ADVENTURES OF PRICKLY PORKY ***	Old Granny Fox	Old Granny Fox felt very sure that some one was playing tricks, so she didn't wait until jolly, round, red Mr. Sun was out of bed.	False
FREETHINKERS ***	On the Nature of Things	He wrote in Latin On the Nature of Things according to Proper Principles, 1565.	True
THE STORY OF PETER PAN ***	Peter and Wendy	She said this because she was jealous of Wendy, since Peter and Wendy had kissed each other.	False
CHILDHOOD'S FAVORITES ***	Peter and Wendy	When night comes the woods are full of flashing lights like little stars, because the fairies are flitting around the house where Peter and Wendy live, and are singing to them as they go to sleep.	False
THE ADMIRABLE BASHVILLE ***	The Duchess of Malfi	The man who thinks The Duchess of Malfi better than David and Bethsabe is outside the pale, not merely of literature, but almost of humanity.	True
CELESTIAL OMNIBUS AND OTHER STORIES ***	The Duchess of Malfi	The Duchess of Malfi was older than Mrs. Gamp--at least, so Mr. Bons said.	False
POEMS, PROSE POEMS, CHARLES BAUDELAIRE ***	The Flowers of Evil	In 1857 The Flowers of Evil was published by Poulet-Malassis, who afterward went into bankruptcy--a warning to publishers with a taste for fine literature.	True
SKETCHES NEW AND OLD, PART 7. ***	The Innocents Abroad	There's my book, The Innocents Abroad price $3.50 to $5, according to the binding.	True
MARK TWAIN, A BIOGRAPHY, ***	The Innocents Abroad	Except Following the Equator, The Innocents Abroad comes nearer to being history than any other of Mark Twain's travel-books.	True
MARK TWAIN, A BIOGRAPHY, ***	The Innocents Abroad	He could see by that time that there wasn't anything mean about me; so we got along, right from the start.--[Holmes in his letter had said: "I rather think The Innocents Abroad will have many more readers than Songs in Many Keys. . .	True
A CROOKED MILE ***	The Invisible Man	The Invisible Man had smiled, and at the same moment there had shown round the bole of the beech a second smoky shape, this one without teeth, but with white and mobile eyes instead.	False
GOLD IN THE SKY ***	The Invisible Man	The Invisible Man Crouching back into the shadow, Tom Hunter waited as the heavy footsteps moved up the corridor, then back down, then up and down again.	False
THE MYSTERIES OF ALL NATIONS ***	The Vampyre	When through own Towne this Sighte we had proclaimed, A dismall Horrour chilled our Townsmen's hartes; The Vampyre (So our Priest the Tailour nam'd)	False
GREATEST BOOKS, VOL. XI. ***	The Wars of the Jews	The Wars of the Jews Josephus, in his "Wars of the Jews," gives the only full and reliable account of the tragic siege and destruction of Jerusalem by the Romans under Titus.	True
A CATALOGUE OF BOOKS IN ***	Vindication of the Rights of Woman	GODWIN, MARY WOLLSTONECRAFT.--Posthumous Works of the Author of a Vindication of the Rights of Woman . . .	True
THE ROOM IN THE DRAGON VOLANT ***	Carmilla	LeFanu: Ghost Stories and Mysteries Ghost and Horror Stones Green Tea and Other Ghost Stories Carmilla and Other Classic Tales of Mystery The Room in the Dragon Volant _Prologue_ _	True
PUNCH, 1917.07.04, VOL. 153 ***	Carmilla	Lady Carmilla Dunstable made a lovely bride at St. Mungo's, Belgravia, yesterday, on her marriage to Prince Wurra-Wurra, of Tierra-del-Fuego.	False
IN A GLASS DARKLY, V. 3/3 ***	Carmilla	Carmilla instantly purchased one, and so did I. He was looking up, and we were smiling down upon him, amused; at least, I can answer for myself.	False
THE PATH OF THE LAW ***	Fox's Book of Martyrs	Three hundred years ago a parson preached a sermon and told a story out of Fox's Book of Martyrs of a man who had assisted at the torture of one of the saints, and afterward died, suffering compensatory inward torment.	True
A HISTORY OF THE MCGUFFEY READERS ***	Fox's Book of Martyrs	This public recognition of the influence of these readers upon the mind and character of this great preacher is again noted in Rev. Joseph Fort Newton's biography of David Swing in which the books which influenced that life are named as "The Bible, Calvin's Institutes, Fox's Book of Martyrs and the McGuffey Readers;" and the author quotes David Swing as saying that "The Institutes were rather large reading for a boy, but to the end of his life he held that McGuffey's Sixth Reader was a great book.	True
PLATO, COMPANIONS OF SOKRATES, VOL IV ***	Homeric Hymns	The Homeric Hymns which we now possess could not be acceptable to Plato.	True
HESIOD, THE HOMERIC HYMNS ***	Homeric Hymns	The Homeric Hymns The collection of thirty-three Hymns, ascribed to Homer, is the last considerable work of the Epic School, and seems, on the whole, to be later than the Cyclic poems.	True
ENCYC. BRITANNICA, VOL 10 SL 5 ***	Homeric Hymns	Of his many translations, mention may be made of the Homeric Hymns in collaboration with R. Schwenck (1814), Tasso's _Jerusalem Delivered_ (1818) and _Siegfrieds Tod_ from the _Nibelungenlied_ (1842); he also collected and translated Latin hymns and sacred poetry (1819).	True
BIBLIOMANIA; OR BOOK-MADNESS***	My Reminiscences	My Reminiscences make copious mention of these celebrated characters.	True
LECTURES ON RUSSIAN LITERATURE ***	Taras Bulba	Taras Bulba had just started out with his two sons to join the camp of the Cossaks.	False
THE MANTLE AND OTHER STORIES ***	Taras Bulba	Taras Bulba is one of those heroes with whom, as the student of Schiller said, one can only have relations when holding a well-loaded gun in one's hand.	True
ESSAYS ON RUSSIAN NOVELISTS ***	Taras Bulba	It is particularly interesting to compare Taras Bulba with the trilogy of the Polish genius, Sienkiewicz.	True
RUSSIAN RAMBLES ***	Taras Bulba	The steppe is no longer an unbroken expanse of waving plume-grass and flowers, wherein riders and horses are lost to sight as, in Gogol's celebrated tale, were Taras Bulba and his sons, fresh from the famous Academy of Kieff, which lies at our feet, below the cliffs.	True
THE STORY OF SEVILLE ***	The Pillars of Hercules	[Illustration: The Pillars of Hercules and Julius CeÃ¡sar] Amalaric was the first of the Gothic monarchs who sat on the throne in Seville.	True
SOUTHERN SPAIN ***	The Pillars of Hercules	The Pillars of Hercules were regarded as the western boundary of the world: beyond was nothingness.	False
LEGENDS OF THE MIDDLE AGES ***	The Pillars of Hercules	The Pillars of Hercules once passed, the travelers beheld the sirens, and, landing once more, were joined by Corineus, who proposed to accompany them.	False
THE WONDERFUL VISIT ***	The Time Machine	The Wonderful Visit *       *       *       *       * By the Same Author The Time Machine DAILY CHRONICLE.--"Grips the imagination as it is only gripped by genuinely imaginative work....	True
TRADITIONS OF THE TINGUIAN ***	The Tinguian	The Tinguian tribe numbers about twenty thousand individuals, most of whom are found in the sub-province of Abra, and in the mountains of Ilocos Sur and Norte.	False
PHILIPPINE FOLK TALES ***	The Tinguian	[7] The Tinguian have no calendar, but reckon time by the recurrence of the moon.	False
THE EDDA, VOL. 1 ***	The Younger Edda	The Younger Edda is a prose paraphrase of, and commentary on, these poems and others which are lost, together with a treatise on metre, written by the historian Snorri Sturluson about 1220.	True
AN OLD TOWN BY THE SEA ***	Twice Told Tales	In one of the Twice Told Tales Hawthorne deals with a man named Wakefield, who disappears with like suddenness, and lives unrecognized for twenty years in a street not far from his abandoned hearthside.	True
FREETHINKERS ***	Ancient Pagan and Modern Christian Symbolism	He also wrote Ancient Pagan and Modern Christian Symbolism Exposed and Explained, '69, and a controversial Freethought work, entitled Ancient Faiths and Modern, published at New York '76.	True
IVORY APES AND PEACOCKS ***	Crime and Punishment	A few years ago Crime and Punishment was the only one of his works well known.	True
DOWN WITH THE CITIES ***	Crime and Punishment	The Human Diet: Crime and Punishment By the use of utensils, fire, and seasonings human beings changed their natural diets, thereby increasing almost limitlessly the things they can eat, and by transforming themselves into hunting, eating animals, have increased their numbers dramatically.	False
IVORY APES AND PEACOCKS ***	Les Misérables	It was doubtless the Norman's clear, robust vision that appealed to Tolstoy, who, at that period was undergoing a change of heart; else how could he call Les Misérables the greatest novel of France, he the writer of Anna Karenina--the antipodes of that windy apotheosis of vapid humanitarianism, the characteristic trait of Hugo's epic of pity and unreality.	True
NOTES OF A SON AND BROTHER ***	Les Misérables	To-day is Sunday, and I've been reading Hugo's account of Waterloo in Les Misérables and preparing my mind for something of the same sort at Wilmington.	True
LIBERTY IN THE NINETEENTH CENTURY ***	Les Misérables	Paper money made legal tender in U. S. A., February 25th; return of fugitives from slavery by army or navy forbidden, March 13th; negro soldiers, April; death of Thoreau, May 6th, and of Buckle, May 29th; disastrous campaign of McClellan in Virginia ends by his retreat, July 8th; Union victory at Antietam, September 19th; emancipation announced as a possible war measure by Lincoln, September 22d; Union defeat at Fredericksburg, December 13th; Victor Hugo's Les Misérables published, also Spencer's First Principles containing his full theory of Integration and Differentiation. 1863.	True
THE RAGGED EDGE ***	Les Misérables	She rose briskly, turned on the light, and opened Les Misérables to the episode of the dark forest: where Jean Valjean reaches out and takes Cosette's frightful pail from her chapped little hands.	True
APPRECIATIONS, ESSAY ON STYLE ***	Les Misérables	 The seeming baldness of Le Rouge et Le Noir is nothing in itself; the wild ornament of Les Misérables is nothing in itself; and the restraint of Flaubert, amid a real natural opulence, only redoubled beauty--the phrase so large and so precise at the same time, hard as bronze, in service to the more perfect adaptation of words to their matter.	True
ESSAYS ON EDUCATION ***	Life of Mozart	The Life of Mozart depicts him as one of intensely active affections and highly impressionable temperament.	True
INVENTIONS IN THE CENTURY ***	Lost Art	and Modern Lathe.--Turning Metal Lathe.--A Lost Art in Use in Egypt and in Solomon's Time.--Revived in Sixteenth Century.--Forgotten and Revived again in Eighteenth.--Sir Samuel Bentham and Joseph Bramah Laid Foundation of Nineteenth Century	False
AN OUTLINE OF RUSSIAN LITERATURE ***	Onegin	Eugene Onegin is the name of the hero.	True
SINISTER STREET, VOL. 2 ***	The Anatomy of Melancholy	He went down to dinner and, propping The Anatomy of Melancholy against the cruet, deplored the twentieth century, but found the chicken rather particularly good.	True
